Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.825897,1.392654,9.797958
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.691895,1.314880,9.750107
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.578232,1.349579,9.636444
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.572266,1.421371,9.512024
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.550720,1.404617,9.422287
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.416733,1.334015,9.349304
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.445435,1.366333,9.147110
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.525604,1.407013,9.147110
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.656006,1.459641,9.240433
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.571060,1.451279,9.416306
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.216919,1.292160,9.657974
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.081726,1.000229,9.717804
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,-0.080994,0.918869,9.717804
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,-0.146790,1.042099,9.887695
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,-0.149185,0.934418,10.067154
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,-0.033142,0.765732,10.058777
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.056610,0.800430,10.014511
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,-0.084579,0.952362,10.179611
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,-0.157562,0.924850,10.314804
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,-0.102524,0.855453,10.059967
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.086517,0.963135,9.845810
2019-01-28 22:37:09:379,0.005569,-0.026459,0.001526,0.047028,1.106705,9.842224
